,name,alt_name,ra,dec,vmag,multiple,class,bii,lii,parallax,distance,absmag
8043,HR 709 ,66And,02 27 51.79,+50 34 10.9,6.12,,STARF4V,-9.4256,138.178,,178.32497413729982,-0.1360608485321917
8044,HR 5079,,13 28 11.71,+50 35 13.9,6.8,,STARF1IV,65.5184,108.77,,452.36668196549425,-1.4774530523171316
8045,HR 8837,,23 14 14.30,+50 37 04.1,6.31,,STARA0V,-9.3355,107.588,,387.81971188718353,-1.6331493969247157
8046,HR 4474,,11 37 52.99,+50 37 05.9,6.14,,STARG9III,62.6599,148.769,,448.63325680484377,-2.1194573216190884
8047,HR 8692,,22 50 10.20,+50 40 36.8,6.21,,STARG4I,-7.7071,104.1,,1716.6125141953755,-4.963361371150132
8048,HR 496 ,PhiPer,01 43 39.60,+50 41 19.0,4.07,,STARB2V,-11.3301,131.325,0.025,718.4061182755977,-5.211850111628758
8049,HR 1210,43Per,03 56 36.50,+50 41 43.1,5.28,W,STARF5IV,-2.1036,150.204,0.036,125.39653121765528,-0.21142761493491324
8050,HR 7137,,18 53 13.61,+50 42 29.9,4.92,,STARG7III,20.3958,80.4308,0.024,302.276531693347,-2.4820221524997237
8051,HR 5133,,13 37 43.01,+50 42 52.9,6.48,,STARM2II,64.8243,105.563,0.003,1772.5890092234858,-4.7630402608665925
8052,HR 5083,,13 28 45.70,+50 43 05.9,6.43,,STARF0IV,65.3643,108.675,,250.69667770724166,-0.5657428931063464
8053,HR 8025,,20 56 25.51,+50 43 43.0,5.81,,STARF0III,3.4844,90.1001,,167.51739994716044,-0.3102996183141178
8054,HR 1160,,03 48 18.29,+50 44 12.1,6.14,,STARB8V,-2.9031,149.159,,858.3062570976878,-3.528211392830226
8055,HR 6656,30Dra,17 49 04.30,+50 46 52.0,5.02,S,STARA2V,30.2993,78.0725,-0.002,211.51516063367146,-1.6067075073395873
8056,HR 536 ,2Per,01 52 09.41,+50 47 34.1,5.79,,STARB9III,-10.9312,132.637,,501.0082606714614,-2.7092244330733175
8057,HR 7196,,18 58 59.59,+50 48 33.8,6.3,,STARG8III,19.5649,80.845,,448.0170023312107,-1.9564724793490909
8058,HR 6790,,18 06 53.50,+50 49 22.1,6.29,,STARK0III,27.5208,78.5921,,443.14725230587146,-1.9427403042267821
8059,HR 8463,,22 11 09.91,+50 49 23.9,5.4,,STARA5V,-4.4031,98.8629,0.008,182.92561845043264,-0.9113726600375038
8060,HR 6383,,17 08 17.11,+50 50 31.9,6.46,,STARA1V,36.7316,77.7434,,665.6252606063701,-2.6561489757717096
8061,HR 7632,,19 56 45.10,+50 54 09.0,6.43,,STARA1V,11.308,84.8209,,347.71468837646205,-1.2761151840189555
8062,HR 1333,,04 20 11.50,+50 55 14.9,5.55,,STARB1IV,0.5738,152.803,,1811.9798760951187,-5.740766850397744
8063,HR 969 ,,03 16 12.19,+50 56 16.1,5.03,,STARG6I,-5.6568,144.89,0.01,732.9356802182504,-4.295329321009618
8064,HR 223 ,25NuCas,00 48 50.09,+50 58 05.9,4.89,,STARB9III,-11.9012,122.513,,338.6878273074988,-2.7589979402916045
8065,HR 5280,,14 02 59.69,+50 58 18.8,6.15,,STARA2V,62.5678,98.106,,316.656677375846,-1.3529432523884157
8066,HR 8519,,22 20 39.60,+50 58 50.9,6.42,,STARK2,-5.1118,100.195,,1941.407010101913,-5.020582967284961
8067,HR 302 ,,01 04 46.80,+51 00 36.0,6.54,,STARB3V,-11.8061,125.075,,1136.4333717669733,-3.7377198922443142
8068,HR 287 ,,01 02 18.41,+51 02 06.0,6.47,,STARA3V,-11.7998,124.677,,587.6691490038223,-2.3756644603008956
8069,HR 645 ,,02 13 36.29,+51 03 56.9,5.31,W,STARG8III,-9.7317,135.86,0.009,182.3121172147129,-0.9940776730774123
8070,HR 8022,,20 56 12.89,+51 04 30.0,6.63,,STARB5V,3.7337,90.3433,,1055.5222579194865,-3.487336978790104
8071,HR 2188,,06 13 45.31,+51 10 21.0,6.04,,STARK1III,15.3013,162.817,,381.9161331348026,-1.8698400224692522
